text,label
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 05-08-2025

To
‘The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kanuru, Vijayawada — 07

(Through Proper Channel)

‘Subject: Request for Release of Payment of [19,16,968/- towards Supply of Projectors,
‘Accessories, and Multifunction Printers ~ M/s. Integrated Electronics

This is to bring to your kind notice that, as per the Approval Order dated 25-03-2025,
and Purchase Order dated 27-03-2025, the following items were procured from
M/s. Integrated Electronics:

Product wy.
Epson EB-982W WXGA 3LCD Projector | 10
EPSON Wireless LAN Module 4
MX HDMI Cable 10 Mrs 5
MX HDMI Cable 15 Mrs 5
1
5
4

MX Power Cable 10 Mtrs
Liberty Ceiling Mount Stand 3+3Feet
‘Screen with Matte White Fabric (810°)
Brother DCP-B7640DWB Fast
Multifunction Wi-Fi Duplex Printer, ADF

= NPeP PPP ee

Due to non-availability of the required projector mode! in the market, there was a delay
In supply. However, M/s. Integrated Electronics has now completed the delivery of all
items, including Epson Wireless LAN Modules, and submitted the final invoice to us on
25-07-2025.

We confirm that all items have been received in good condition and are in accordance
with the specifications mentioned in the Purchase Order.

In view of the above, it is requested to kindly release an amount of 19,16,968/- to
IM/s. Integrated Electronics at the earliest.

‘Thanking You,
Yours sincerely,

(Dr.D.Rajeswara Rao)
",Payment
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 08-10-2025

To
The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kanuru, Vijayawada - 07

(Through Proper Channel)

Subject: Request for Release of Payment Rs,2,350- Procurement of Power
‘Adapters and Wi-Fi Dongle ~ reg,

Dear Sir,

This is to bring to your kind notice that the power adapters in the CC

Surveillance Racks located at the Main Gate and Central Security Point (under

the flyover) were found burnt, due to which the CCTV surveillance system

became non-functional

‘To restore the system immediately, 4 Nos. of power adapters were procured

2 adapters have been replaced and 2 are kept as spares for future use.

In view of NBA-related activities, a Wi-Fi dongle was also procured to

troubleshoot Wi-Fi network issues. This is perticularly useful when resource

persons’ laptops cannot connect to our intemal Wi-Fi network due to their

organization's security restrictions,

The following items were procured from M/s. AAR Technologies:

SL [tem ce Rate | Amount | Remarks
No. | Description | y ® |®
1 | Power 4Nos. | 200 | 800 used, 2 kept as spare
Adapter | | |
2 | WiFiDongle |1No, | 1550 |1550 |For _ troubleshooting
l Wi-Fi issues |
Total 2,350/- (Including all taxes)

Hence, it is requested to kindly release an umount of %2,350/- (Rupees Two
Thousand Three Hundred and Fifty only) to M’s. AAR Technologies towards
the above procurements.

‘Thanking You

‘Yours sincerely,

Enel: rDRajeswara Rao)

1) Invoice
",Payment
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 04-08-2025

To
‘The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kenuru, Vijayawada - 07

(Through Proper Channel)

‘Subject: Request for Release of Payment Rs.7,20,000/- towards Wi-Fi
Installation at Girls Hostel (Outside Campus) ~ Reg.

This is to bring to your kind notice that, as per the approval order dated
22-07-2025, the Wi-Fi Access Points installation work at the Girls Hostel
(outside campus) hes been successfully completed. The intemet is working in
good condition.

‘The work was executed by M/s. Smart Net Solution as per the Purchase Order
dated 23-07-2025,

In view of the successful completion of the work, it is requested to kindly
release the total payment amount of Rs. 7,20,000/- to M/s. Smart Net Solution
at the earliest,

‘Thanking You

Yours sincerely,

(Dr.D.Rajeswara Rao)

Enel
1) Invoices (2 Pages)
2) Purchase Order
3) Committee Report
4) Approval Order
",Payment
"To Date:01-08-2025
‘The Registrar

Siddhartha Academy of Higher Education

Kanuru, Vijayawada ~ 520 007

‘Through Proper Channel

Subject: Request for Approval (o Procure 4 Analog Cameras for Godavari Girls
Hostel ~ Reg,

Respected Sir,

This is to bring to your kind notice that there is a requirement for instalation of
4 analog cameras at Godavari Hostel to cover a total of three critical locations,
namely the grocery store room, the kitchen room (inside), and the kitchen:
entry point, These cameras are essential to ensure proper utilization of
provisions, uphold hygiene standards in the kitchen, and provide effective
‘monitoring at the kitehen entry point.

Quotations have been obtained from the following vendors:
1, M/s, Anvi Technologies - & 20,500/-
2. Mis, Shiva Sai Computers ~ & 25,875.04/-
3. M/s. T&T Enterprises ~ 8 24,898/-

‘Among these, M/s. Anvi Technologies has quoted the lowest price of %20,500/-,
inclusive of passive components and installation charges.

In view of the above, we request your kind approvel to proceed with the
procurement & installation from M/s. Anvi Technologies.

Thanking you.

Yours Sincerely

(Dr. K Suvarna Vani)
",Payment
"Date: 04-08-2025

To
The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kanuru, Vijayawada - 07

(Through Proper Channel)

Subject: Request for Release of Payment of 213,895/- towards Procurement
and Installation of 32"" Display and Accessories for to connecting
CCTV Surveillance at Indoor Stadium ~reg.

Dear Sir,

This is (0 bring to your kind notice that, for effective monitoring of CCTV

surveillance at the Indoor Stadium, we have procured and installed 8 TCL

32-inch Display along with necessary accessories for connecting CCTV

Surveillance,

‘The details of the expenditure incurred are as follows:

| S.No. Description ‘Amount (%)|
| 1 (TCL 32"" TV (procured from Amazon portal) 12,495/-_ |
[ ‘Wall Mounting Brackets 450/~

[

2 |
3_ HDMI Cable ~ 5 meters + Wireless Mouse 950/-_|
Total 13,895/- |

We spent this amount from our own funds. The display unit is working well,
and the CCTV feed is clear. Now I am able to easily monitor students in. all
rooms during evening sports activities from my charaber.

Tn view of the above, it is requested to kindly release an amount of 213,895/- to
Mr. P. Raghu, Department of Physical Education, towards reimbursement
for the procurement and installation of the above items. Kindly arrange for the
payment at the earliest,

Thanking you,

Yours Sincerely

(Mr. P. Raghu)
",Payment
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 30-07-2025

To
‘The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kenuru, Vijayawada - 07

(Through Proper Channel)

Subject: Request for Permission to Procure Foot/Shoe Rack at Impact
‘Training Centre, 4th Floor ~ Dr. V. L. Dutt Block

Dear Sit,

This is to bring {0 your kind notice that there is currently no foot/shoe racks
available at the Computer Labs located at the Impact Training Centre, 4th.
Floor, Dr. V. L. Dutt Block, Nearly 240 students use these labs each day, and
the absence of foot/shoe racks is causing inconvenience and makes the area
outside the labs look untidy with scattered footwear. In this regard, quotations
were obtained from the following vendors

1, Ms. Furnitures ~ %45,000/- (after final negotiation)
2. M/s. My Godway ~ 258,000/-
3, Sri Sai Safe Company ~ &54,000/-

‘As M/s, Fumitures, Vijayawada has quoted the lowest price of %45,000/-
Hence, we request your kind approval to proceed with this purchase at a total
cost of Rs.45.000/- at the earliest fo improve the cleanliness and overall
functionality of the labs.

Thanking You

Yours sincerely.

(Dr.D.Rajeswara Rao)

Encl:
1) Quotations
",Payment
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 0810-2025

Te
The Regia
Siar Academy of Higher Education, Deemed be Univesity
‘amy, Vey “07
(Through Proper Chem!)
SubjetsRequer fo Relet of Advance Amoun Rs. {6,000 Frcsrement of
ugar Video Recording Room Setup, Grouad Foe, Depurmeat of
(CSE Dr ¥.L- Dut Boe.
Dewi,
This to bring 0 your kind ace tin view of ae Video Recording Room
Inaoguration shed om 1-10-2028 (Saray) tis ects 1 mabe Te
Vider Recording Room fly ready wie requted sup,

The eilowing Comper Pcgheal and Blgtica lems are ryuied

comple he up. The approximate coat re provided blow
Sh. | Mew Deseripion [a [ie Amount
No, o ©
* Computer Peripherals""
1 [Whole eybourd owe | No | 2300. | 2.500
22TH Exava ars Duk | Ns. 6,000. 6.000,
3 Trinh Wits Rover | ENo. 2500 2.500,
4 USB Estendes(Smetes) 2 $00. 1000
op
S| &Pon USP 30TH No
Swbrotal- Computer P
lett tama
6 [Lagan byline 64 Cee)
Sire Now
7“ Lapand Myline 64 Socks | 6"" 100600
Now
8 le Wey Surice Box No. (200200
9/16 Way rom Pte Ne. (300300
110g. mm Wise 6 meet) | Lot 100.100
LL /GMPowerSpie Gures (2/700 1.400
Wow.

‘Suboin-Electieal emt 2.340
I Grand Total | 16,440/-

ene, its equese t kinly lease an sdvece mou of {16440 (kupees
Ssten Thousand Tour Hundred and Pony ony tower the precweren of
‘heave tee forthe Video Recording Ronm sey. Pla ‘eat heave im
vor of 1OD CSE.

‘Tanking You

Your sinc,

(De DRajenar Ra)
",Payment
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 13-10-2025

To
‘The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kanuru, Vijayawada - 07

(Through Proper Channel)

‘Subject: Submission of Bill — 29,616/- towards Airtel Air Fiber Internet
‘Subscription for Cyber Security Lab, 4"" Floor, Dr V L Dutt Block.

Dear Sir,

This is to bring to your kind notice that we have successfully subscribed to en
Airtel Air Fiber Internet Plan for the Cyber Security Lab, 4th Floor,
Dr. V, L. Dutt Block,

+ Plan Duration; 28th June 2025 to 27th June 2026 (12 Months)

+ Subscription Amount: 29,616/-
An advance amount of %18,000/- was received earlier from the Registrar's
Otfice. We had also proposed for a Jio Air Fiber connection, but due to
technical feasibility issues, the connectivity could not be established. The Jio
technical team conducted a site survey but did not provide any further response,

In view of this, a separate cable was laid from the our Central Server Room,
and a second internet connection (M/s. Power Grid ) was provided to the
Cyber Security Lab for unintersupted connectivity.

Kindly find enclosed the payment receipts and plan details for your reference,

‘Thanking You

Yours sincerely,

(Dr.D.Rajeswara Rao)

Brel:
1) Permission Letter
2) Payment Receipt
3) Plan Details Copy
",Payment
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 09-10-2025

To
‘The Registrar
Siddharths Academy of Higher Education, Deemed to be University
Kanuru, Vijayawada - 07

(Through Proper Channel)
Subject: Request for Renewal of ERNET Domain — vrsiddhartha.ac.in
Dear Sir,
This is to inform you that our domain ~ vesiddhartha.ac.in will expire on
07-12-2025, The domain is actively used for hosting our official website
(www.vrsiddhartha.ac.in), institute email services, and other integrated
essential applications’services. Hence, it is essential to renew the domain
immediately to ensure uninterrupted access to these online services
‘We are proposing a 9-years renewal at a total cost of 88,496/- (incl. all taxes).

As per the ERNET renewal process, the following documents are required to be
submitied/uploaded on the ERNET Registry Portal:
S.No | Document / Proof Required

1 Letter of Undertaking *

2 | Application Letter * (on Institute Letterhead, duly signed and
stamped by the Head of the Institute)

3__| Letter of Appointment of Admin *

4 | Registration Certificate establishing the legal constitution of the
Registrant *

5_| Affiliation Letter *

6 | Address Proof

We have to upload the scanned copies of the above documents on the ERNET
portal to complete the renewal process

Hence, itis requested to kindly grant permission for domain renewal and release
an advance amount of %8,496/- in favour of HOD, CSE for making the online
payment.

We also request support from the Registrar Office in preparing and signing the
required documents, so that the renewal can be completed at the earliest to
avoid any inconvenience due to service disruption.

Thanking You
Yours sincerely,

Enc!

1) Tasiff Details Copy -

2) List of Requized Documents for Renewal (rD.Rajeswara Rao)

3) Email Copy
",Payment
"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING
Date: 09-10-2025

To
‘The Registrar

Siddhartha Academy of Higher Education, Deemed to be University
Kenuru, Vijayawada - 07

(Through Proper Channel)

Subject: Submission of Bill Rs. 5,600/- towards Replacement of 8 Port PoE
Network Switch- Ground Floor, Ladies Hostel, Krishna Block.

Dear Sir,

This is to bring to your kind notice that Wi-Fi issues were observed at the

Ground Floor, Krishna Block (Ladies Hostel). The Wi-Fi Access Points were

frequently rebooting due to a failure in the existing Cisco 8-Port PoE Network

‘Switch, The PoE module in the switch was malfunctioning, causing the Access

Points to disconnect and reconnect repeatedly. As a result, students were facing

difficulty in accessing the internet continuously.

The existing switch was procured in 2018. Hence. it has been replaced with a

new TP-Link 8-Port PoE Network Switch, and the issue has now been resolved

in the Ground Floor of Krishna Block,

‘The new switch was procured from M/s. AAR Technologies, Vijayawada, at

total cost of Rs, 5,600/- (Rupees Five Thousand Six Hundred only)

Hence, we request you to release an amount of Rs. 5,600/- to the vendor at the

earliest.

‘Thanking You
‘Yours sincerely,
(Dr. K Suyarna Vani)

Enel
1) Invoice
",Payment
